method,n_qubits,run,budget,shots_used,iterations,energy,ground_energy,relative_gap
gCANS,3,7,100000,100000,170,-0.9144285993638211,-0.920476372171203,0.006570264039604312
gCANS,3,8,5000,4680,13,-0.038684926898368416,-0.920476372171203,0.9579729278578666
gCANS,3,8,10000,9720,27,-0.26111380978852694,-0.920476372171203,0.7163275259606975
gCANS,3,8,20000,19800,55,-0.6994887072248974,-0.920476372171203,0.24007967138259498
gCANS,3,8,50000,49494,133,-0.9134554279143964,-0.920476372171203,0.0076275116549116674
gCANS,3,8,100000,100000,185,-0.9177014832062231,-0.920476372171203,0.003014622698499633
gCANS,3,9,5000,4680,13,-0.38750162307005465,-0.920476372171203,0.5790205650189338
gCANS,3,9,10000,9720,27,-0.7202010970990127,-0.920476372171203,0.2175778554747523
gCANS,3,9,20000,19800,55,-0.8841999742676725,-0.920476372171203,0.03941046071390451
gCANS,3,9,50000,49362,126,-0.9133358523595951,-0.920476372171203,0.007757417819172234
gCANS,3,9,100000,100000,172,-0.9177897658739651,-0.920476372171203,0.0029187129387154374
gCANS,4,0,5000,4800,10,-0.44691767524893095,-0.9173632924615879,0.5128236774662047
gCANS,4,0,10000,9600,20,-0.6206052944355739,-0.9173632924615879,0.32349015974872347
gCANS,4,0,20000,19680,41,-0.7640710159223192,-0.9173632924615879,0.1671009487723615
gCANS,4,0,50000,49746,102,-0.8970308027676288,-0.9173632924615879,0.02216405415503415
gCANS,4,0,100000,99612,158,-0.9090535931839561,-0.9173632924615879,0.009058242624177985
gCANS,4,1,5000,4800,10,0.03041126666391515,-0.9173632924615879,1.033150734189845
gCANS,4,1,10000,9600,20,-0.06995114871985599,-0.9173632924615879,0.9237476043627667
gCANS,4,1,20000,19680,41,-0.261732766690533,-0.9173632924615879,0.7146901681794812
gCANS,4,1,50000,49928,104,-0.7705841388554705,-0.9173632924615879,0.16000111930820837
gCANS,4,1,100000,99648,172,-0.858243620860025,-0.9173632924615879,0.06444521171424386
gCANS,4,2,5000,4800,10,-0.516954303575907,-0.9173632924615879,0.43647810216086985
gCANS,4,2,10000,9600,20,-0.6791520944705846,-0.9173632924615879,0.25966942426026685
gCANS,4,2,20000,19680,41,-0.7837038335128625,-0.9173632924615879,0.14569959365833463
gCANS,4,2,50000,49354,97,-0.8445697111992685,-0.9173632924615879,0.07935087643085241
gCANS,4,2,100000,99552,149,-0.8851785674368511,-0.9173632924615879,0.03508394688256446
gCANS,4,3,5000,4800,10,-0.5109367763266256,-0.9173632924615879,0.44303769234583834
gCANS,4,3,10000,9600,20,-0.6177099724672444,-0.9173632924615879,0.3266462942835602
gCANS,4,3,20000,19680,41,-0.7245955783896731,-0.9173632924615879,0.21013236049009054
gCANS,4,3,50000,49816,100,-0.8710026187744979,-0.9173632924615879,0.050536874614515045
gCANS,4,3,100000,100000,162,-0.9056233598005444,-0.9173632924615879,0.012797473757142979
gCANS,4,4,5000,4800,10,0.04139782403597264,-0.9173632924615879,1.045126968101033
gCANS,4,4,10000,9600,20,-0.3278013116707327,-0.9173632924615879,0.6426701238599445
gCANS,4,4,20000,19680,41,-0.6203178192900806,-0.9173632924615879,0.32380353085028774
gCANS,4,4,50000,49424,101,-0.8238370080484108,-0.9173632924615879,0.10195119554240642
gCANS,4,4,100000,99550,161,-0.8808004527901107,-0.9173632924615879,0.03985644506590958
gCANS,4,5,5000,4800,10,-0.083752566061442,-0.9173632924615879,0.9087029459869641
gCANS,4,5,10000,9600,20,-0.21270381361041119,-0.9173632924615879,0.7681356826043727
gCANS,4,5,20000,19680,41,-0.4599057593214644,-0.9173632924615879,0.49866561797193154
gCANS,4,5,50000,49920,104,-0.7479521449024809,-0.9173632924615879,0.18467181862544457
gCANS,4,5,100000,99778,185,-0.8798593760632432,-0.9173632924615879,0.04088229462256916
gCANS,4,6,5000,4800,10,-0.48697876076737484,-0.9173632924615879,0.46915386219493216
gCANS,4,6,10000,9600,20,-0.5824053893054119,-0.9173632924615879,0.36513113824008986
gCANS,4,6,20000,19680,41,-0.7038587227207758,-0.9173632924615879,0.23273720618132543
gCANS,4,6,50000,49882,103,-0.8552174889812415,-0.9173632924615879,0.06774393960498323
gCANS,4,6,100000,99564,179,-0.9105017593402647,-0.9173632924615879,0.0074796246783664635
gCANS,4,7,5000,4800,10,-0.16634140976546277,-0.9173632924615879,0.8186744432305396
gCANS,4,7,10000,9600,20,-0.39549510664190635,-0.9173632924615879,0.5688784259280064
gCANS,4,7,20000,19680,41,-0.5975493964225977,-0.9173632924615879,0.3486229486911604
gCANS,4,7,50000,49506,102,-0.7102620021800286,-0.9173632924615879,0.22575711496569517
gCANS,4,7,100000,100000,163,-0.7471668686653663,-0.9173632924615879,0.18552783307857076
gCANS,4,8,5000,4800,10,-0.07059224802689011,-0.9173632924615879,0.9230487543953629
