method,n_qubits,budget,median_gap,q25_gap,q75_gap,mean_gap,std_gap,median_shots,median_iterations
iCANS,4,10000,0.5242903384083166,0.3411129543629946,0.6360978227881883,0.5325615780096082,0.22203714008690079,9600.0,20.0
iCANS,4,20000,0.27245645927242185,0.1544624581432245,0.3463088823737049,0.2975742231443744,0.17009415194634275,19680.0,41.0
iCANS,4,50000,0.05666186237498248,0.03307062767729097,0.14270656478462612,0.09182827666146215,0.07575774526834919,49920.0,104.0
iCANS,4,100000,0.010889344225955791,0.0061934515462204,0.029872120715638287,0.03250213099635316,0.049342790484221855,99840.0,208.0
iCANS,5,5000,0.9894016300259016,0.86728737923433,1.1015688822499206,0.9768162857367854,0.14221079895791028,4800.0,8.0
iCANS,5,10000,0.9259626621926516,0.8096783967067104,1.0355587335470626,0.8942613629370652,0.17874703111449153,9600.0,16.0
iCANS,5,20000,0.8033149513464586,0.7030658652507975,0.9028676949715613,0.7502957798327881,0.21372865557854528,19800.0,33.0
iCANS,5,50000,0.4468168509065866,0.4097953495065975,0.491075194931815,0.4340718694345861,0.147137595649753,49800.0,83.0
iCANS,5,100000,0.16342680910472812,0.14459663928968292,0.2091048123236473,0.21454114638879732,0.15629706902891238,99600.0,166.0
iCANS,6,5000,0.9772016688948932,0.9162282994376303,1.016030296284073,0.9685737817021562,0.08838091472481725,4320.0,6.0
iCANS,6,10000,0.9497216887072938,0.8986349661115489,0.985344642912704,0.939628661260245,0.09087014855664126,9360.0,13.0
iCANS,6,20000,0.8913127505496441,0.8334575460311404,0.9450559830098837,0.875135203684261,0.10844462775641829,19440.0,27.0
iCANS,6,50000,0.7274738637202005,0.5925230824314096,0.7894785743856724,0.6848728006948324,0.16884435818356344,49680.0,69.0
iCANS,6,100000,0.4530141207599184,0.1920051715643726,0.6106263295806565,0.4115515334482384,0.2194971236552715,99360.0,138.0
iCANS,7,5000,0.941696770157336,0.9066925187828967,0.982316525064055,0.9665074146112482,0.0912148353145902,4200.0,5.0
iCANS,7,10000,0.9264506183176255,0.8804328702689083,0.9600631604424944,0.9410347697017751,0.09047830460705354,9240.0,11.0
iCANS,7,20000,0.8855213843348508,0.8311096754180427,0.9232755832988817,0.8919616689748416,0.08971817387535813,19320.0,23.0
iCANS,7,50000,0.7828356296148908,0.7184715293209641,0.8107086417104923,0.7777603437568292,0.0893959648006624,49560.0,59.0
iCANS,7,100000,0.5632607054153027,0.5390886004558009,0.6736688680743907,0.6006429305184338,0.08552387746602287,99960.0,119.0
